cinema_name,programmer_name,screen_name,screen_format,screen_capacity,screen_tat,daily_start_time
CINEPOLIS NEXUS AHMEDABAD,JAGMEET,Audi 1,3D,174,,540
CINEPOLIS NEXUS AHMEDABAD,JAGMEET,Audi 2,2D,146,,540
CINEPOLIS NEXUS AHMEDABAD,JAGMEET,Audi 3,2D,146,,540
CINEPOLIS NEXUS AHMEDABAD,JAGMEET,Audi 4,3D,239,,540
CINEPOLIS NEXUS AHMEDABAD,JAGMEET,Audi 5,3D,275,,540
CINEPOLIS NEXUS AHMEDABAD,JAGMEET,Audi 6,3D,146,,540
CINEPOLIS KANKUBAG AHMEDABAD,JAGMEET,Audi 1,2D,313,,540
CINEPOLIS KANKUBAG AHMEDABAD,JAGMEET,Audi 2,3D,297,,540
CINEPOLIS KANKUBAG AHMEDABAD,JAGMEET,Audi 3,2D,192,,540
CINEPOLIS KANKUBAG AHMEDABAD,JAGMEET,Audi 4,3D,248,,540
CINEPOLIS KANKUBAG AHMEDABAD,JAGMEET,Audi 5,2D,248,,540
CINEPOLIS IMPERIAL SURAT,JAGMEET,Audi 1,3D,143,,540
CINEPOLIS IMPERIAL SURAT,JAGMEET,Audi 2,2D,172,,540
CINEPOLIS IMPERIAL SURAT,JAGMEET,Audi 3,2D,129,,540
CINEPOLIS IMPERIAL SURAT,JAGMEET,Audi 4,2D,179,,540
CINEPOLIS IMPERIAL SURAT,JAGMEET,Audi 5,3D,290,,540
CINEPOLIS IMPERIAL SURAT,JAGMEET,Audi 6,3D,285,,540
CINEPOLIS INORBIT VADODARA,JAGMEET,Audi 1,3D,146,,540
CINEPOLIS INORBIT VADODARA,JAGMEET,Audi 2,3D,182,,540
CINEPOLIS INORBIT VADODARA,JAGMEET,Audi 3,3D,174,,540
CINEPOLIS INORBIT VADODARA,JAGMEET,Audi 4,2D,158,,540
CINEPOLIS INORBIT VADODARA,JAGMEET,Audi 5,2D,182,,540
CINEPOLIS INORBIT VADODARA,JAGMEET,Audi 6,2D,155,,540
CINEPOLIS  VANDANA RAJKOT,JAGMEET,Audi 1,3D,211,,540
CINEPOLIS  VANDANA RAJKOT,JAGMEET,Audi 2,3D,211,,540
CINEPOLIS  VANDANA RAJKOT,JAGMEET,Audi 3,2D,195,,540
CINEPOLIS  VANDANA RAJKOT,JAGMEET,Audi 4,2D,195,,540
